p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
20,21,21,22,21,20,21,13,20,22
19,16,25,25,21,19,19,4,20,15
20,20,20,16,9,19,20,15,13,15
15,19,13,15,15,20,15,15,-1,9
16,32,33,22,22,32,31,31,32,32
16,16,19,14,16,13,7,10,10,19
10,14,14,15,21,16,14,19,9,9
27,25,14,9,21,26,27,16,19,22
14,13,16,14,13,10,14,15,14,13
16,19,16,-1,19,19,19,19,16,15
9,7,14,15,16,14,7,14,19,14
20,16,16,15,8,20,21,19,21,21
27,21,15,20,25,8,27,27,21,26
20,22,8,20,19,20,21,21,21,25
20,22,19,19,19,19,20,19,19,25
16,15,15,14,19,10,7,19,14,16
14,13,14,13,13,14,10,14,13,14
13,13,8,13,3,9,8,9,4,8
10,14,9,13,14,14,13,13,14,14
20,21,19,19,19,20,19,14,20,19
21,25,20,20,15,9,25,20,22,22
15,19,15,13,19,4,15,20,19,21
15,7,19,15,19,15,19,15,13,16
20,20,19,25,21,21,25,20,19,20
32,31,31,32,20,22,28,28,31,31
21,21,25,20,16,21,20,22,20,20
-1,21,15,19,19,-1,9,19,19,3
13,13,14,15,13,15,7,14,14,14
32,33,33,32,32,22,25,22,32,33
14,2,13,14,13,14,14,13,21,14
8,10,13,8,13,8,13,14,9,10
16,21,20,-1,7,25,20,20,20,19
27,21,10,10,25,16,25,25,22,21
14,15,9,19,14,19,13,4,15,10
15,14,19,19,9,15,13,16,14,15
13,7,13,14,13,7,10,3,7,9
19,19,13,14,15,19,10,19,16,15
9,8,14,13,16,13,8,13,14,13
16,22,19,15,19,21,19,13,20,19
15,15,16,15,8,13,15,10,14,15
9,13,19,15,13,19,14,15,15,15
14,14,3,10,14,14,9,15,19,10
19,20,16,19,20,19,20,19,10,9
19,19,19,19,19,19,15,19,15,19
16,14,14,15,19,14,20,16,15,14
15,16,14,13,13,14,14,19,13,14
25,27,21,22,19,20,22,25,15,27
16,21,20,20,15,22,19,19,19,19
15,19,19,20,15,20,19,8,14,19
15,19,20,15,19,15,22,9,19,21
13,-1,14,16,14,15,15,15,16,14
19,10,19,19,19,16,19,19,21,20
21,20,15,20,21,15,20,20,15,20
9,21,21,19,15,19,19,20,16,15
19,15,16,15,19,10,14,19,19,19
19,14,14,19,14,16,4,16,16,15
19,20,19,20,19,19,20,20,26,19
16,13,3,13,8,9,14,3,14,8
14,14,10,10,9,13,8,15,14,9
26,25,19,25,20,25,25,26,22,25
31,31,33,31,31,31,31,31,15,33
15,16,25,19,26,25,27,25,19,21
9,10,19,19,15,19,19,20,19,19
20,16,19,20,20,19,4,20,22,20
15,10,10,14,13,13,15,7,14,14
19,9,21,15,10,16,20,13,10,20
13,15,19,15,20,15,14,4,10,15
19,7,20,16,9,20,8,7,19,19
21,21,21,13,19,25,22,21,20,22
9,13,14,14,13,9,14,13,10,13
10,4,16,13,14,13,9,9,16,8
26,25,25,27,26,26,28,10,22,27
19,7,15,15,14,15,15,13,13,19
20,25,20,22,22,25,20,22,25,21
22,16,25,25,25,25,27,25,21,22
19,25,25,15,27,25,26,21,26,21
27,31,19,25,25,26,26,26,25,28
21,19,8,10,21,20,20,25,20,22
25,25,25,27,27,31,19,22,25,20
26,25,22,16,27,25,16,10,20,21
19,9,19,13,21,13,10,19,19,19
16,21,10,9,19,14,21,4,19,20
15,16,15,19,14,13,19,19,20,15
19,19,16,16,22,22,21,20,25,21
15,21,25,19,20,15,25,21,13,21
16,32,31,15,26,27,21,25,26,15
19,10,10,13,20,20,19,-1,15,10
14,9,19,9,19,14,19,16,14,21
14,14,19,14,15,13,15,-1,15,10
9,4,9,13,13,13,14,4,8,13
20,26,26,25,26,21,21,25,25,15
19,14,14,19,9,19,20,14,16,20
15,25,27,25,16,21,26,22,15,9
16,15,15,7,15,15,19,19,10,16
26,21,20,7,21,22,25,25,21,25
19,19,19,20,20,15,19,19,21,21
21,20,25,25,21,25,21,9,25,22
16,7,19,20,21,13,15,19,19,16
7,8,9,8,8,13,9,8,7,14
21,22,25,10,26,15,16,16,26,21
13,13,4,15,13,13,10,14,13,15
4,10,14,13,15,16,13,13,10,14
15,21,22,19,25,22,9,20,15,19
14,10,10,13,10,14,13,13,9,9
14,15,15,16,19,14,19,19,14,15
19,19,14,13,16,21,21,19,20,19
22,16,19,14,20,7,21,19,20,20
14,7,13,3,13,10,13,13,13,8
14,15,13,15,13,15,16,14,8,14
25,22,25,21,22,26,25,27,27,31
26,22,26,26,31,25,26,22,25,19
22,20,20,10,19,19,10,20,20,15
14,13,7,13,13,13,15,4,13,15
15,15,13,19,13,13,19,4,16,4
2,10,8,10,9,13,13,10,7,9
16,32,21,31,10,27,22,25,25,4
21,22,31,13,33,34,34,27,33,32
15,9,14,13,10,14,15,13,13,15
19,21,14,25,20,25,20,20,25,20
15,15,16,19,15,15,19,15,10,19
16,9,15,21,4,16,21,15,19,9
13,15,14,14,7,15,10,19,14,10
14,3,13,8,1,3,8,8,14,8
26,21,20,21,27,22,16,25,25,21
26,20,25,27,26,22,26,19,16,25
13,13,9,10,14,15,15,15,14,19
