player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,team1Win
Jhin,Jax,Teemo,Lux,Yone,Volibear,Ornn,Ryze,Vayne,Zilean,1
Sett,Graves,Ekko,Irelia,Aphelios,Lux,Teemo,Ezreal,Elise,Zed,0
Poppy,Lulu,Garen,Diana,Veigar,Malzahar,Twitch,Yuumi,Amumu,Vladimir,0
Ashe,Kayn,Jax,Vel'Koz,Bard,Darius,Senna,Karma,Trundle,Lux,1
Leona,Kai'sa,Zed,Volibear,Fiora,Fizz,Maokai,Ashe,Trundle,Garen,1
Lux,Ashe,Galio,Olaf,Tryndamere,Garen,Shaco,Hecarim,Ryze,Caitlyn,0
Kha'Zix,Lux,Sona,Darius,Zed,Jax,Cassiopeia,Morgana,Caitlyn,Hecarim,0
Rengar,Jinx,Morgana,Jax,Orianna,Sivir,Lulu,Lillia,Yone,Vladimir,0
Urgot,Vladimir,Ashe,Shen,Zyra,Ornn,Kha'Zix,Lux,Jinx,Yone,1
Gnar,Senna,Jhin,Ekko,Warwick,Xerath,Yone,Zac,Nautilus,Vayne,1
Warwick,Brand,Teemo,Orianna,Tristana,Galio,Yone,MissFortune,Irelia,Wukong,1
Sion,Caitlyn,Elise,Sylas,Blitzcrank,Zilean,Lissandra,Vi,Morgana,Sivir,0
Veigar,Nidalee,Sona,Jinx,Malphite,Lux,Fiora,Nautilus,Kalista,Kha'Zix,0
Ahri,Teemo,Hecarim,Ivern,Vayne,Amumu,Heimerdinger,Zyra,Jhin,Garen,0
Caitlyn,Malphite,Teemo,Rek'Sai,Syndra,Jax,Blitzcrank,Illaoi,Kai'sa,Orianna,0
Volibear,Cassiopeia,Yasuo,Garen,Cho'Gath,MissFortune,Lux,Nocturne,Tryndamere,Soraka,1
Blitzcrank,Yasuo,Tristana,Ryze,Nocturne,Vayne,Zyra,Urgot,Pyke,Warwick,0
Galio,Lux,Darius,Master Yi,Jinx,Ezreal,Morgana,Pyke,Garen,Neeko,1
Ahri,Garen,Ornn,Karma,Jinx,Varus,Sona,Master Yi,Nasus,Yone,1
Nidalee,Yone,Amumu,Volibear,Poppy,Ashe,Talon,Rengar,Sona,Garen,1
Ziggs,Karthus,Ezreal,Malphite,MissFortune,Draven,Swain,Vel'Koz,Graves,Jax,0
Draven,Lulu,Ahri,Volibear,Sett,Kassadin,Caitlyn,LeeSin,Mordekaiser,Lux,0
Sett,Yone,Kha'Zix,Sona,Ashe,Karma,MissFortune,Vayne,Graves,Renekton,1
Leona,Yone,Ahri,Ashe,Renekton,Lucian,JarvanIV,Zyra,Xerath,Mordekaiser,0
Morgana,Caitlyn,Darius,Olaf,Akali,Teemo,Yasuo,Warwick,Yone,Shen,1
Singed,Twitch,Zed,Kayn,Yuumi,Nidalee,Lissandra,Jax,Zyra,Kai'sa,1
Evelynn,Sett,Corki,Caitlyn,Sylas,Senna,Yone,Nocturne,Veigar,Ashe,0
Ornn,Aatrox,LeBlanc,Ashe,Sylas,Evelynn,Tristana,Rakan,Nasus,Yasuo,0
Galio,Thresh,Lillia,Ornn,Caitlyn,TwistedFate,Soraka,Sett,Shaco,Tristana,0
Nautilus,Hecarim,Ahri,Tristana,Jinx,Heimerdinger,Kai'sa,Lux,Fiddlesticks,Quinn,1
Lulu,Mordekaiser,Talon,Master Yi,MissFortune,Sett,Brand,Zoe,Caitlyn,Warwick,1
Diana,Kai'sa,XinZhao,Darius,Blitzcrank,Evelynn,Ezreal,Jax,Yuumi,Kassadin,0
Lux,Caitlyn,Garen,Diana,Warwick,Vi,Quinn,Xerath,Malphite,Ahri,0
Nasus,Malphite,Sivir,Morgana,Pyke,Yone,Annie,Fizz,Malzahar,Jhin,1
Gangplank,Katarina,Vi,Kai'sa,Bard,Vladimir,Braum,Hecarim,Darius,Vayne,1
Lux,Yasuo,Zed,Wukong,Jinx,Braum,Aphelios,Warwick,Akali,Yone,1
Jhin,Amumu,Tristana,Soraka,Cassiopeia,Thresh,Riven,Ashe,Zed,Kha'Zix,0
Lulu,Ornn,Tristana,Ivern,Yasuo,Kayle,Blitzcrank,Rengar,Katarina,Jhin,0
LeeSin,Lulu,Caitlyn,Yasuo,Yone,Tristana,Maokai,Tryndamere,Graves,Jhin,0
Master Yi,Caitlyn,Thresh,Garen,Malphite,Rammus,Yone,Sett,Blitzcrank,Jinx,1
Kindred,Akali,Ashe,Amumu,Shen,Kha'Zix,Kai'sa,Nasus,Poppy,LeBlanc,1
Lucian,Cassiopeia,Pyke,Sion,Warwick,Shen,Ryze,Trundle,Aphelios,Morgana,0
Cassiopeia,Olaf,Yasuo,Yuumi,Camille,Zilean,Caitlyn,Yone,Kayn,Malphite,1
Tristana,Bard,Nunu,Mordekaiser,LeBlanc,Neeko,Jhin,Syndra,Hecarim,Leona,0
Karthus,Volibear,Yasuo,Annie,Twitch,Wukong,Vayne,Talon,Brand,Trundle,0
Draven,Nunu,Gnar,Annie,Senna,Warwick,Garen,Ivern,Caitlyn,Pyke,1
Pyke,Caitlyn,Rakan,Gnar,Kindred,Cassiopeia,Yuumi,Rammus,Quinn,Orianna,0
Galio,Volibear,Morgana,Caitlyn,Fiora,Yasuo,Nautilus,MissFortune,Akali,Shyvana,0
Sona,Caitlyn,Garen,Xerath,Amumu,Kennen,Lux,Draven,Master Yi,Kassadin,1
Janna,Ekko,Ahri,Akali,Ashe,Yone,Rengar,Yuumi,Yorick,Ezreal,1
LeeSin,Akali,Soraka,Nocturne,Shaco,Aphelios,Lillia,Ahri,Udyr,Volibear,0
Amumu,Darius,Leona,Karthus,Zed,Blitzcrank,Graves,Kayle,Jinx,Yone,0
Caitlyn,Galio,Vi,Brand,Yone,Sona,Draven,Nocturne,Cho'Gath,Riven,0
Blitzcrank,Warwick,Gragas,Ashe,Irelia,Kled,Hecarim,Nami,Caitlyn,TwistedFate,1
Lucian,Graves,Malphite,Pantheon,Zyra,Tristana,Cho'Gath,Nunu,Nami,Ezreal,1
Olaf,LeBlanc,Jax,Zilean,Jhin,Brand,Rammus,Cho'Gath,Shen,Ashe,0
Lucian,Thresh,Neeko,Garen,Cho'Gath,Morgana,Sett,Warwick,Talon,Caitlyn,1
Kindred,Ahri,Taric,Illaoi,Jhin,Galio,Vi,Renekton,Vayne,Lulu,1
Thresh,Draven,Ahri,Fiora,Evelynn,Illaoi,Ekko,Kayn,Nami,Caitlyn,1
Ashe,Lulu,Twitch,TwistedFate,Dr.Mundo,Vel'Koz,Kled,Nunu,Braum,Tristana,0
Ahri,Sona,Nasus,Graves,Jinx,Ziggs,Caitlyn,Jax,Shaco,Leona,0
Bard,Sylas,Jhin,Yone,Kayn,Kha'Zix,Zoe,Ashe,Senna,Rengar,0
Sett,Yone,Kha'Zix,Twitch,Brand,Lucian,Evelynn,Pantheon,Warwick,Irelia,1
LeBlanc,Caitlyn,Lux,Aatrox,Graves,Braum,Jax,Kayle,Yasuo,Ashe,0
Jax,Ekko,Caitlyn,Maokai,Soraka,Syndra,Veigar,Senna,Nocturne,Garen,0
Swain,Lucian,Rengar,Katarina,Akali,Yone,Master Yi,Sion,Ashe,Pyke,0
Ekko,Kai'sa,Darius,Ahri,Yuumi,Urgot,Morgana,Yone,Fiddlesticks,Ashe,1
Soraka,Shaco,Viktor,Ashe,Kennen,Volibear,Lux,Senna,Heimerdinger,Master Yi,0
Annie,MissFortune,Zyra,Sett,Volibear,Brand,Lux,Vayne,Kayn,Jhin,0
Elise,Yorick,Caitlyn,Karma,Zed,Sona,Xayah,Akali,Volibear,Sylas,1
Lucian,Wukong,Tryndamere,Bard,Akali,Yasuo,Darius,Teemo,Tristana,Xerath,1
Nautilus,Caitlyn,Garen,Udyr,Zed,Akali,Shaco,Singed,Tristana,Bard,0
Yone,Ahri,Cassiopeia,Vi,Rammus,Irelia,Nunu,Ashe,Soraka,Yasuo,1
Malphite,Lillia,Yasuo,Qiyana,Ashe,Mordekaiser,Galio,Poppy,Jhin,Pyke,0
TwistedFate,Ekko,Ziggs,Jax,Yuumi,Lux,Caitlyn,Karthus,Ornn,Master Yi,1
Kha'Zix,Teemo,Ezreal,Lissandra,Lillia,MissFortune,Fizz,Vi,Rumble,Leona,0
Yasuo,Mordekaiser,Gragas,Jhin,Pyke,Yone,Caitlyn,Ahri,Swain,Cho'Gath,1
Ashe,Nunu,Sett,Master Yi,Vel'Koz,Skarner,Bard,Malzahar,Yasuo,Nasus,0
Yasuo,Vi,Maokai,Yone,MissFortune,Ashe,Lillia,Rengar,Amumu,Yuumi,0
Kha'Zix,Ezreal,Veigar,Thresh,Lillia,Lulu,Viktor,Ashe,Jax,Evelynn,0
Sivir,LeeSin,Rumble,Bard,Nasus,Ekko,Volibear,Lux,Lucian,Garen,0
Ahri,Rengar,Darius,Brand,Kai'sa,Vayne,Zac,Yasuo,Illaoi,Senna,1
Kayn,Morgana,Ezreal,Malphite,Singed,Yasuo,Lucian,Leona,Teemo,Jax,1
Hecarim,Shen,Malphite,Zoe,Ashe,Vi,Jhin,Yone,Cho'Gath,Lulu,1
Renekton,Kayn,Senna,Jinx,Kassadin,Darius,Lucian,Janna,Ziggs,Lillia,1
Blitzcrank,Pantheon,Yone,Lillia,Caitlyn,Sona,Jhin,Ziggs,Jax,Kayn,0
Orianna,Tryndamere,Sett,Bard,Vayne,Dr.Mundo,Poppy,Ekko,Morgana,Ashe,1
Ashe,Talon,Jayce,Malphite,Lux,Xayah,Ekko,Pyke,Yone,Volibear,1
Singed,Graves,Caitlyn,Swain,Zed,Ahri,Lillia,Twitch,Blitzcrank,Nunu,0
Neeko,Senna,Malphite,Olaf,Lux,Caitlyn,Dr.Mundo,Zac,Annie,Yasuo,0
Nautilus,Caitlyn,Wukong,Xerath,Rek'Sai,Karma,Xayah,Ekko,Ornn,Orianna,1
Swain,Yuumi,Vi,Garen,Twitch,Jhin,Morgana,Fiddlesticks,Kled,Zoe,0
Warwick,Riven,Syndra,Lux,Zed,Caitlyn,Volibear,Vel'Koz,Malphite,Zyra,0
Sett,Renekton,Master Yi,MissFortune,Ziggs,Caitlyn,Fizz,Leona,Kayn,Riven,1
Alistar,Yasuo,Nunu,Vladimir,Yone,Riven,Zilean,Thresh,Rengar,Draven,0
Nautilus,Hecarim,Fiora,Draven,Ahri,Lux,Ezreal,Yasuo,Akali,Sejuani,1
Rengar,Lulu,Vayne,Zed,Warwick,Lux,Viktor,Graves,Kai'sa,Illaoi,1
Shaco,TwistedFate,Garen,Sejuani,Aphelios,Kayn,Illaoi,Senna,Ashe,Neeko,1
Sivir,Fiddlesticks,Wukong,Yuumi,Yone,Caitlyn,Sona,Hecarim,Teemo,Swain,1
Kassadin,Irelia,Fiddlesticks,Caitlyn,Sona,Vi,Malphite,Zoe,Brand,Yasuo,1
Trundle,Orianna,Olaf,Braum,MissFortune,Kayle,Volibear,Zoe,Vayne,Blitzcrank,1
Twitch,Nami,Olaf,Zoe,Sion,Ahri,LeeSin,Vladimir,Ashe,Lulu,0
Karthus,Veigar,Jhin,Thresh,Sion,Azir,Soraka,Irelia,Ashe,Hecarim,1
Yasuo,Volibear,Jhin,XinZhao,Morgana,Fizz,Nautilus,Aphelios,Lillia,Camille,0
Sett,LeBlanc,Sona,Lux,Mordekaiser,Alistar,Hecarim,Rumble,Caitlyn,Jhin,1
Master Yi,Mordekaiser,Blitzcrank,Jinx,Katarina,Evelynn,Nunu,Nasus,Morgana,Caitlyn,1
Corki,Graves,Master Yi,Fizz,TwistedFate,Zed,Gangplank,Senna,Nunu,Lux,1
Caitlyn,Sett,Morgana,Cho'Gath,Trundle,Lux,Renekton,Yone,Jhin,Vi,0
Master Yi,Ezreal,Janna,Lucian,Katarina,Irelia,Teemo,Hecarim,Ashe,Zilean,1
Leona,Kai'sa,Camille,Ekko,Veigar,Yone,Caitlyn,Poppy,Rengar,Lux,0
Nami,Vladimir,Twitch,Maokai,Shyvana,Jhin,Dr.Mundo,Ahri,Leona,Olaf,0
Dr.Mundo,Caitlyn,Karthus,Yone,Blitzcrank,Ekko,Zed,Malphite,Heimerdinger,Soraka,0
Ashe,Morgana,Malphite,Volibear,Xerath,Jhin,Vel'Koz,Nunu,Veigar,Vi,1
Draven,Zac,Veigar,Morgana,Yorick,Diana,Master Yi,Nasus,Ezreal,Lux,1
Ezreal,Kayle,Malphite,Jax,Ekko,Master Yi,Lillia,Vayne,Diana,Yone,0
Mordekaiser,Zed,Sona,Ezreal,Nocturne,Galio,Brand,Aphelios,Master Yi,Garen,1
Orianna,Alistar,Fiora,Shaco,Lucian,Rakan,Heimerdinger,Yone,Zed,Evelynn,1
Lux,Warwick,Elise,Ashe,Thresh,Olaf,Nasus,Pantheon,Varus,Lillia,0
Leona,Lillia,Shaco,Nocturne,Draven,Teemo,Pyke,Neeko,Lucian,Master Yi,0
Yone,Nunu,Jhin,Graves,Sona,Diana,Kayn,Pyke,Camille,Lucian,0
MissFortune,Vel'Koz,Shen,Nunu,Sona,Renekton,Nocturne,Fizz,Thresh,Kai'sa,1
JarvanIV,Lux,Ashe,Soraka,Mordekaiser,Jax,Malphite,Ezreal,Morgana,Syndra,1
Camille,Volibear,Irelia,Jhin,Morgana,LeBlanc,Shen,Vi,Ezreal,Lulu,1
Dr.Mundo,Lux,Senna,Nami,Jax,Malphite,Graves,Blitzcrank,Ekko,Jhin,0
Volibear,Senna,Ashe,Yone,Shaco,Sylas,Jinx,Soraka,Kayn,Teemo,0
Yorick,Lillia,Blitzcrank,Ashe,Ahri,Master Yi,Nasus,Orianna,Jhin,Senna,1
Garen,Galio,Tristana,Rengar,Lissandra,Morgana,Darius,Nunu,Lux,Jhin,1
Bard,Kai'sa,Garen,Malzahar,JarvanIV,Warwick,Talon,Yasuo,Yone,Evelynn,1
Jayce,Tristana,Soraka,Lux,Graves,Brand,Ashe,Kha'Zix,Singed,Lucian,0
Nautilus,Zac,Ahri,Twitch,Amumu,Malzahar,Yone,Thresh,Kindred,Ashe,1
Nunu,Draven,Jax,Galio,Lulu,Xayah,Alistar,Yone,Hecarim,Aatrox,0
Kayn,Lux,Volibear,Kassadin,Ezreal,Ekko,Caitlyn,Aatrox,Kindred,Pyke,0
Graves,Karma,Zed,Ezreal,Tryndamere,Soraka,Olaf,Darius,Kai'sa,Galio,1
Lucian,Orianna,Lulu,Jax,Kindred,Olaf,Malphite,Diana,Karma,Kai'sa,0
Ashe,Dr.Mundo,Malphite,Yuumi,Olaf,Janna,Shaco,Garen,MissFortune,Riven,1
Yasuo,Riven,Lucian,Zac,Thresh,MissFortune,Kha'Zix,Blitzcrank,Anivia,Darius,0
Jhin,Bard,Ryze,Teemo,Kayn,Karthus,Ashe,Viktor,Xayah,JarvanIV,1
Aatrox,Ryze,Kha'Zix,Thresh,Lucian,Shen,Shyvana,Caitlyn,Nami,Anivia,1
Tristana,Heimerdinger,Warwick,Illaoi,Veigar,Jhin,Udyr,Sona,Yone,Dr.Mundo,0
Ezreal,Tryndamere,Malphite,Kha'Zix,Bard,Fiora,Nocturne,Sona,Lucian,LeBlanc,0
Shen,Fiora,Caitlyn,Ziggs,Morgana,Lucian,Wukong,Quinn,Galio,Pyke,1
Kai'sa,Volibear,Tryndamere,Nautilus,Ahri,Jhin,Yuumi,Shyvana,Anivia,Garen,1
Kayn,Rakan,Jinx,Fizz,Gangplank,Lux,Jhin,Ekko,Poppy,Kayle,1
Riven,Kassadin,Elise,Thresh,Lucian,Evelynn,Camille,XinZhao,Nautilus,Caitlyn,1
Sona,Ezreal,Skarner,Ahri,Jax,Maokai,Vladimir,Soraka,Master Yi,Kai'sa,1
Caitlyn,Fiora,Olaf,Akali,Morgana,Tristana,Yone,Kalista,Lux,Kayn,0
Fizz,Fiddlesticks,Morgana,Nasus,Caitlyn,Garen,Yasuo,Master Yi,Lucian,Blitzcrank,1
Yone,Garen,Ezreal,Nautilus,Zed,Malphite,Gnar,Cassiopeia,Zyra,Sejuani,0
Ashe,Morgana,Warwick,Anivia,Yorick,Ezreal,Lissandra,Vi,Irelia,Sona,0
LeeSin,Tristana,Thresh,Lux,Yone,Graves,Sylas,Maokai,Veigar,Sion,0
Gragas,Jax,Soraka,Lux,Ezreal,Senna,Caitlyn,Darius,Zac,Nunu,0
Nasus,Elise,Braum,Ashe,Warwick,Zilean,Caitlyn,Graves,Yasuo,Tryndamere,0
Nidalee,Teemo,Malphite,Rumble,Jhin,Lulu,Sett,Twitch,Garen,Xerath,0
Jax,Riven,Jinx,Graves,Senna,MissFortune,Sett,Shen,Thresh,Lucian,1
Dr.Mundo,Lulu,MissFortune,Garen,Ahri,Urgot,Lillia,Soraka,Ezreal,Akali,1
Nami,Sett,Twitch,Riven,Amumu,Jinx,Karthus,Soraka,Volibear,Lillia,1
Nunu,Ezreal,Kayle,Galio,Zyra,Lucian,Janna,Ryze,Kha'Zix,Yone,1
Ahri,Garen,Ekko,Blitzcrank,Aphelios,Cassiopeia,Amumu,Riven,Tristana,Rakan,0
Draven,Braum,Cassiopeia,JarvanIV,Bard,Talon,Caitlyn,Sylas,Ivern,Blitzcrank,0
Riven,Illaoi,Soraka,Caitlyn,Nocturne,Teemo,Cassiopeia,Lux,Ekko,Jhin,0
Blitzcrank,Lucian,Kayn,Darius,Yone,Udyr,Fizz,Teemo,MissFortune,Nautilus,1
Yorick,Yone,Nami,Kayn,Caitlyn,Ashe,Ekko,Gangplank,Malphite,Ezreal,1
Leona,Cassiopeia,Olaf,MissFortune,Jax,Warwick,Caitlyn,Shen,Singed,Yone,1
Teemo,Caitlyn,Zed,Kayn,Morgana,Brand,Vayne,Janna,Akali,Shen,1
Ekko,Hecarim,Lux,Swain,Teemo,Gangplank,Vi,Thresh,Lucian,Kennen,1
Ashe,Pantheon,Trundle,Vel'Koz,Mordekaiser,Swain,Karma,Caitlyn,Renekton,Zac,0
Shen,Caitlyn,Udyr,Cassiopeia,Pyke,Ziggs,Kindred,Zyra,Ezreal,Malphite,1
Riven,Hecarim,Diana,Swain,Quinn,Thresh,Ezreal,Kindred,Shen,Yasuo,1
Riven,Master Yi,Morgana,Yone,Caitlyn,Sylas,Thresh,Shen,Tristana,Lillia,0
Garen,Varus,Hecarim,Katarina,Thresh,Janna,Jhin,Yone,Zac,Heimerdinger,1
Amumu,Lux,Ezreal,Lillia,Teemo,Ahri,Vayne,Veigar,Mordekaiser,Master Yi,1
Tristana,Neeko,Urgot,Fiddlesticks,Sona,Ashe,Morgana,Heimerdinger,JarvanIV,Zed,1
Ezreal,Senna,Shaco,Cassiopeia,Jax,Caitlyn,Zyra,Yone,Malzahar,Kayn,1
Galio,Darius,Ahri,Jinx,Master Yi,Lucian,Ekko,Zilean,Yone,Zac,1
Yuumi,Sylas,Volibear,Caitlyn,Hecarim,Leona,Nasus,Swain,Zac,Aphelios,0
Syndra,Soraka,Warwick,Nasus,Ezreal,Kalista,Shen,Annie,Amumu,Anivia,0
Ezreal,Karma,Graves,Cho'Gath,Nasus,Sona,Darius,Master Yi,MissFortune,Nunu,0
Kayle,Lux,Yuumi,Yasuo,Gragas,Graves,Brand,Jhin,Nunu,Urgot,1
Kayn,Pantheon,Ashe,Morgana,Aatrox,Caitlyn,LeeSin,Yone,Janna,Sion,1
